Word,Chinese,Definition,Synonyms,Usage,Reference
possession,garbage n.垃圾；give v.給,,,from his possession!,Spider Man 2 2004 Extended
possessor,"n.持有人,所有人",,,He said it gave its possessor,Tomb Raider 2001
possibility,"employer n.雇主  boss
empty adj./v.空的 vacant; containing nothing
the room was empty of furniture.
enable v.使能夠 the evidence would enable us to arrive at firm conclusions.
fill (someone) with great delight; charm. Isabel was enchanted with the idea.
enclose v.圍住surround or close off on all sides. the entire estate was enclosed with；envious adj.嫉妒的",,,'Airborne is a possibility.,Dawn of the Dead 2004-English
possible,adj.s.adj.p. As Soon As Possible 尽快,,,How is such a thing possible?,Vanity Fair 2004
possibly,"adv.可能地,或者",,,Possibly.,Spider Man 2 2004 Extended
post,"n.工作,操作;Op 乐曲 (opus);Observation Post,观察所;Opposed,对置发动机;操作员(=Operater)",,,why you prefer the post,Vanity Fair 2004
postage,,,,,
postal,,,,,
postcard,"n.明信片,风景明信片",,,from the picture postcard image,City of God 2002
postcondition,,,,,
postdoctoral,adj.博士后的,,,from primal level to postdoctoral,A I Artificial Intelligence-English
posted,"adj.有地位的,消息灵通的",,,Posted from Lisbon.,Spider Man 2 2004 Extended
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者",,,You framed an Asia poster?,The 40 Year Old Virgin 2005
posterity,"n.子孙,后裔",,,for posterity...,The Constant Gardener 2005-English
postman,n.邮差,,,I gave a letter to the postman,Cast Away 2000
postmark,n.邮戳vt.盖邮戳于,,,- Postmark says Brooklyn.,Mystic River 2003
postmaster,n.邮局女局长,,,...the postmaster,Big Fish 2003
postmortem,"adj.死后的,死后发生的n.尸体检查,验尸",,,Perhaps he conducted the postmortem.,The Constant Gardener 2005-English
postpone,"vt.推迟,使延期,延迟",,,So we have to postpone our,Spider Man 2 2004 Extended
postponed,"v.延期,缓办 vbl.延期,缓办",,,postponed indefinitely.'',Chicago 2002-English
postponing,*dispensable adj.可有可無的；disappoint(ment) v.(n)使失望,,,,
posture,,,,,
postwar,adj.战后的,,,our entire postwar strategy.,The Aviator 2004-English
pot,*drainage n.排水系統；dizzy adj.頭暈目眩的 Jonathan had begun to suffer dizzy spells,,,In the pot. Put it in the pot.,Mr and Mrs Smith 2005
potage,n.<法>肉汁(浓汤),,,"""Potage de mouton à I'Ecossaise. '""",Vanity Fair 2004
potassium,钾,,,of ammonium oxalate potassium perchloride.,Fight Club 1999
potato,n.马铃薯,,,Sweet potato pie it is.,Ray 2004
potbellied,"adj.大腹便便的,大肚子的",,,potbellied pig.,American Psycho-English
potency,n.力量,,,...but his spirit has lost none of its potency.,The Lord of the Rings The Fellowship of the Ring
potent,"adj.有力的,有效的",,,but this was so much more potent.,Batman Begins 2005
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压",,,have the potential to match Jack,Pirates of the Caribbean The Curse of the Black Pearl 2003
potentiality,,,,,
potentially,adv.潜在地,,,I'm facing a potentially,american beauty-English
pothead,"n.迷幻药服用者,瘾君子",,,- He thinks you're a pothead.,The 40 Year Old Virgin 2005
potion,"n.一服,一剂",,,"Love potion, please.",Eternal Sunshine of the Spotless Mind 2004
pots,"Plain Old Telephone Service,旧式普通电话服务",,,How many pots have you smoken?,The 40 Year Old Virgin 2005
potter,"n.陶工,制陶工人",,,"- Sean Connery, Harry Potter.",Love Actually-English
pottery,*intrigue v./n.陰謀,,,l`m taking a pottery class.,My Big Fat Greek Wedding 2002
potty,"adj.微不足道的,琐碎的n.便壶",,,Potty break! He grabbed,Finding Nemo 2003
pouch,"n.小袋,烟草袋,钱袋,育儿袋vt.把...装入袋中,使成袋状vi.成袋状",,,the red pouch found here.,American Psycho-English
poultry,n.家禽,,,"Funny, he doesn't look like poultry.",Toy Story 2-English
pound,"define v.解釋；給…下定義
*definite adj.明確的；肯定的
*defy v.違抗 resist；depress v.使沮喪 +(someone)
depression n.沮喪",,,comes by the pound.,Million Dollar Baby 2004
pounder,"n.有一磅重量的东西,捣杵",,,"Mr Blakeney, the nine-pounder.",Master and Commander The Far Side of the World-English
pounds,*like prep.像；和·一樣；lecturer n.講師 a senior lecturer in surgery at Leeds University,,,A thousand pounds.,Vanity Fair 2004
pour,"v.灌注,倾泻,涌入,流,倾盆大雨",,,"- Here, let me pour that for you.",Hitch 2005
poured,*downwards adv.向下的；*dumb adj.啞的；愚笨的,,,This was poured,The Quiet American 2002
pouring,,,,... won't stop pouring money,The Aviator 2004-English
poverty,"n.贫穷,贫困,贫乏,缺少",,,...combating poverty.,Batman Begins 2005
powder,forward adj./v.向前；今後 forward(s) adv.向前；今後,,,I've folded up and taken a run-out powder...,The Aviator 2004-English
powdered,"adj.弄成粉的,有许多小斑点的",,,sift in a cup of powdered whale heart.,Eternal Sunshine of the Spotless Mind 2004
power,faculty n.能力；feed v./n.餵食,,,It's not power either.,Spider Man 2 2004 Extended
powerful,"*drift v./n.漂流；漂浮物fallen leaves were starting to drift in the gutters.
*drill n./v.鑽頭；鑽床 a hand tool, used for making holes.
take (a liquid) into the mouth and swallow.
we sat by the fire, drinking our coffee.；donate v.捐贈",,,make you feel powerful?,Sin City 2005-English
powerless,adj.无能力的,,,be powerless to stop him.,The Lord of the Rings The Two Towers 2002 EXTENDED
powers,*disorganized adj.雜亂無章的；divine adj.神的；神聖的,,,They got evil powers.,Spider Man 2 2004 Extended
powershell,,,,,
ppad,,,,,
ppp,,,,,
practical,"adj.实际的,实践的,实用的,应用的,有实际经验的",,,The devil is a practical man.,Kingdom of Heaven 2005
practically,"adv.实际上,事实上,在实践上adv.几乎,简直",,,we can live on practically nothing a year.,Vanity Fair 2004
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业",,,And your piano practice?,Vanity Fair 2004
practiced,"kill (someone) by tying a rope. he was hanged for murder.
hanger n.衣架a shaped piece of wood, plastic, or metal with a hook at the top.
happen v.發生take place; occur.
two hours had passed and still nothing had happened.",,,Just like we practiced.,Hitch 2005
practices,,,,,
practicing,"adj.开业的,在工作的",,,Just keep practicing.,Million Dollar Baby 2004
practise,"v.练习,实习,实践,实行,操持(专业等),竭力想,利用(某人之轻信等),实施",,,to practise for the talent show.,Mean Girls 2004
practitioner,,,,,
praetorian,"n.[古罗马]执政官阶级的人adj.执政官的,禁卫队的",,,Praetorian!,Gladiator 2000 EXTENDED
pragma,,,,,
prague,n.布拉格,,,Some show in Prayge... Prague?,The Incredibles 2004
prairie,"n.大草原,牧场,<美方>林间小空地",,,"Prairie Portage,",A Beautiful Mind 2001
praise,fork n./v.叉子,,,Praise be to God.,Kingdom of Heaven 2005
praiseworthy,,,,,
pratt,n.<美俚>屁股,,,Sizemore and Pratt.,Flight of the Phoenix 2004-English
pray,"v.祈祷,恳求,请",,,Pray don't concern yourselves.,Vanity Fair 2004
prayed,knee n.膝蓋,,,If only you knew how I prayed,Spider Man 2 2004 Extended
prayer,n.祈祷,,,[Man Chanting Prayer],Kingdom of Heaven 2005
pre,Petroleum Refining Engineer炼油工程师,,,- Okay. I want it done. - I told him pre-Valentine's Day is our busy time.,Eternal Sunshine of the Spotless Mind 2004
preach,v.鼓吹,,,I have no plans to preach war,Cold Mountain-English
preacher,n.传教士,,,"Now, where's the preacher at?",Ray 2004
preaching,"n.讲道,讲道法",,,You preaching the word? The entire,21 Grams-English
precarious,adj.不稳定的,,,the precarious situation,Lilo and Stitch 2002
precaution,"n.预防,警惕,防范",,,be taking every precaution.,Spider Man 2 2004 Extended
precautionary,adj.预防的,,,precautionary thing.,Pearl Harbor 2001
precede,"v.领先(于),在...之前,先于",,,Our reputations precede us.,Kill Bill Vol 1 2003
precedence,"n.优先,居先",,,Precedence would make that,Vanity Fair 2004
precedent,n.先例,,,SEE IF THERE'S ANY PRECEDENT.,Constantine 2005
preceding,"adj.在前的,前述的",,,"preceding it,",Pirates of the Caribbean The Curse of the Black Pearl 2003
precept,n.规则,,,simple precept...,"O Brother, Where Art Thou -English"
precinct,"n.区域,围地,范围,界限,选区",,,the precinct or just go downstairs.,The Interpreter 2005-English
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的",,,my precious week of freedom.,Vanity Fair 2004
precipitation,n.仓促,,,Some kind of precipitation.,Hitch 2005
precise,*expertise n.專業知識,,,a very precise grasp of the matter.,Vanity Fair 2004
precisely,adv.adv.正好,,,Precisely.,Vanity Fair 2004
precision,"n.精确,精密度,精度",,,with surgical precision.,Hero 2002 CHINESE
precocious,adj.早熟的,,,The younger one was precocious.,2046 2004
precognition,n.预知,,,it borders on precognition.,Spider Man - Trilogy 2002
precondition,,,,,
predator,"familiar adj.熟悉的 their faces will be familiar to many of you.
family n.家庭；家人 the family lived in a large house with a lot of land.；fierce adj.兇猛的；猛烈的 fifteen adj./n.＋五",,,Now to pull this predator in close,Master and Commander The Far Side of the World-English
predecessor,"n.前辈,前任,(被取代的)原有事物",,,a cinematic predecessor,Pirates of the Caribbean The Curse of the Black Pearl 2003
predetermination,"9pri:dI`t:mI`neIFEn/n.预定,蟦EtIv/adj.预先决染",,,"You're talking about predetermination,",Minority Report 2002
predicament,n.困境,,,- What a predicament.,The Interpreter 2005-English
predicate,,,,,
predict,"v.预知,预言,预报",,,I predict a phenomenal success.,Spider Man 2 2004 Extended
predictability,n.可预言,,,on predictability.,The Island 2005
predictable,adj.可预言的,,,You're pathetically predictable.,Spider Man - Trilogy 2002
prediction,"n.预言,预报",,,and of course I prediction you say no...,Love Actually-English
predictive,"adj.预言性的,成为前兆的",,,for their predictive abilities to work.,Minority Report 2002
predictor,,,,,
preempt,v.先占,,,¶¶ Making ends preempt,Reign of Fire 2002-English
preemptive,,,,,
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始",,,but always to preface it,Hotel Rwanda 2004-English
prefect,"n.长官,各类官员",,,Prefect of Lan Meng district.,Hero 2002 CHINESE
prefer,"vt.更喜欢,宁愿",,,why you prefer the post,Vanity Fair 2004
preferable,,,,,
preferably,adv.更适宜,,,Preferably a Catholic.,The Exorcism of Emily Rose
preference,"n.偏爱,优先选择",,,It's my preference to blow things up.,Sin City 2005-English
preferred,adj.首选的,,,I'd have much preferred,District B13 2004
prefetcher,,,,,
preflight,adj.(飞机、导弹、人造卫星等)起飞(或升空)前的 为(飞机等)起飞(或升空)作准备的,,,"and do your preflight, Mr. Towns?",Flight of the Phoenix 2004-English
pregnancy,n.怀孕,,,can sense a pregnancy.,Spider Man 2 2004 Extended
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的",,,into battle pregnant and bare-breasted?,Vanity Fair 2004
preheat,vt.预先加热,,,"your homework, preheat the oven",The Pacifier 2005-English
prejudice,,,,,
preliminary,*duration n.持續；draft n./v.草稿,,,the preliminary trials in Africa...,The Constant Gardener 2005-English
premarital,adj.结婚前的,,,and premarital sex.,Donnie Darko
premature,"adj.未成熟的,太早的,早熟的",,,"""Following the premature death",Vanity Fair 2004
prematurely,"adv.过早地,早熟地",,,destiny will prematurely end,The Storm Riders 1998
premeditated,"adj.预想的,预谋的",,,-This one's premeditated.,Minority Report 2002
premier,,,,,
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提",,,You've got a premise and setting but,Be Cool 2005-English
premises,n.前提 v.立前提,,,packaged on the premises.,City of God 2002
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水",,,premium fantasy.,Lost in Translation-English
premonition,n.前兆,,,"Thank you, sir. I had a premonition",Love Actually-English
prentice,"n.学徒,徒弟adj.徒弟的,无经验的vt.使做学徒",,,"It's a photograph of Prentice York,",Catch Me If You Can 2002
preoccupation,,,,,
preoccupy,,,,,
prep,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)",,,she's doing SAT prep.,Mean Girls 2004
preparation,"n.准备,预备",,,"but also by preparation, numbers...",Kingdom of Heaven 2005
prepare,"*cult n.狂熱的崇拜 cultivate v.耕作；培養；*darken v.使變黑
*darkroom n.暗房",,,"Allies Prepare for War. '""",Vanity Fair 2004
prepared,"adj.准备好的,精制的",,,and all the delights I've prepared for us?,Vanity Fair 2004
prepares,,,,,
preparing,,,,Preparing to descend.,The Aviator 2004-English
preposterous,adj.荒谬的,,,"Preposterous, looking for her here!",Crouching Tiger Hidden Dragon 2000
prerogative,n.特权,,,through a microscope is your prerogative.,Master and Commander The Far Side of the World-English
presage,n.预兆v.预示,,,But it does presage a possible mutiny.,Pirates of the Caribbean The Curse of the Black Pearl 2003
preschool,"adj.未满学龄的,入学前的n.幼儿园",,,to preschool right now.,About a Boy 2002-English
prescient,"adj.预知的,预见的",,,Aristotle was perhaps prescient.,Alexander 2004-English
prescribe,,,,,
prescription,"n.指示,规定,命令,处方,药方",,,a hell of a prescription for that lot.,28 Days Later 2002
presence,"n.出席,到场,存在",,,Agamemnon requests your presence.,Troy 2004
present,*destination n.目的地；*differentiate v.區分,,,"Ah, uh, may I present",Vanity Fair 2004
presentable,adj.象样的,,,Do I look presentable?,The Last Samurai 2003
presentation,"n.介绍,陈述,赠送,表达",,,presentation to the Academy.,Spider Man 2 2004 Extended
presentiment,"n.预感,预觉",,,a presentiment.,The Hours
presently,"adv.目前,不久",,,We are presently in the throes,The Interpreter 2005-English
preservation,n.保存,,,And in the interest of self-Preservation,The Bourne Supremacy 2004
preserve,invent v.創造,,,"coming, to preserve their questionable virtue.",The Aviator 2004-English
preside,,,,,
presidency,n.任期,,,to bring to the presidency,Donnie Darko
president,"n.总统,会长,校长,行长",,,He's vice president.,The Aviator 2004-English
presidential,adj.总统的,,,"Yes, the presidential election was finished.",Born To Be King (2000)-en
presley,n.普雷斯利(m.),,,I'm Elvis Presley.,The Machinist 2004
press,"*disclose v.透露
*disclosure n.揭露；disqualify v.取消資格 he was disqualified from driving for six months.
ignore.
the body of evidence is too substantial to disregard.",,,"- You're a press agent, are you not?",The Aviator 2004-English
pressed,crystal adj./n.水晶的；dance n./v.舞蹈,,,"Get the sails off her, lads. She's over-pressed.",Master and Commander The Far Side of the World-English
pressing,adj.紧迫的v.挤压,,,pressing firmly when I give the word.,Master and Commander The Far Side of the World-English
pressman,"n.印刷工人,<英口>新闻工作者,记者",,,waiter at the luxurious Pressman hotel.,Fight Club 1999
pressure,"n.压,压力,电压,压迫,强制,紧迫",,,"You're under pressure, but it's gonna",The Aviator 2004-English
prestigious,"adj.享有声望的,声望很高的",,,a scroll from your prestigious school.,Hero 2002 CHINESE
presto,"n.急板之乐曲或乐章adj.极快的,迅速的",,,"Back he comes, and hey presto!",Amelie 2001
prestressed,,,,,
prestressing,,,,,
presumably,"adv.推测起来,大概",,,"And I, presumably, the worm?",Vanity Fair 2004
presume,"vt.假定,假设,认为",,,even though those who presume,Kingdom of Heaven 2005
presumption,,,,,
presumptuous,adj.专横的,,,"That's rather presumptuous,",A Beautiful Mind 2001
pretend,"vt.假装,装扮,(作为藉口或理由)伪称",,,I can't pretend to understand...,Vanity Fair 2004
pretended,"adj.假装的,虚假的",,,I pretended to be bad at math,Mean Girls 2004
pretender,n.妄求者,,,no pretender to the throne of Asia...,Alexander 2004-English
pretension,"n.借口,要求,主张,自负,骄傲",,,I despise this pretension.,Frida [2002]
pretentious,adj.自命不凡的,,,pretentious bores in the world.,Frida [2002]
prettily,adv.悦人地,,,How prettily the Duchess,Vanity Fair 2004
pretty,*debut n.初次登臺；cute adj.可愛的,,,It's pretty. I like her.,The Aviator 2004-English
pretzel,"n.一种脆饼干,<美俚>[音] 法国号",,,l bought him a pretzel.,Minority Report 2002
prevail,"vi.流行,盛行,获胜,成功",,,The cannon's thunder can't prevail,Cold Mountain-English
prevailing,"adj.占优势的,主要的,流行的",,,definitely prevailing.,How to Lose a Guy in 10 Days 2003
prevalence,n.流行,,,where prevalence is,A Beautiful Mind 2001
prevent,"make the spontaneous sounds and movements of the face and
body. she couldn't help laughing at his jokes.
laughter n.笑the action or sound of laughing. he roared with laughter.
start or set in motion (an activity or enterprise).
she was launching a campaign against ugly architecture.
a room in a house, hotel, or institution where clothes and
laundry n.洗衣店 linens can be washed and ironed. next to the laundry.
the system of rules which a particular country or community.
they were taken to court for breaking the law.
conforming to, permitted by, or recognized by law or rules. it is an offense to carry a weapon in public without lawful authority.
a legislator. the game's official lawmakers are preparing the new legislation.
an area of short, mown grass in a yard, garden, or park.
she was sitting in a deckchair on the lawn.
*lawnmower n.除草機 a machine for cutting the grass on a lawn.
a claim or dispute brought to a court of law for adjudication.
*lawsuit n.訴訟 his lawyer filed a lawsuit against Los Angeles city.",,,Does LadyJane prevent it?,Vanity Fair 2004
preventing,"*hose n.長襪及短襪 use). a chorus girl's fishnet hose.
friendly and welcoming to strangers or guests. two friendly, hospitable brothers run the hotel.",,,,
prevention,,,,,
preventive,,,,,
prevents,,,,"Prevents lock up, helps you maintain",The Machinist 2004
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演",,,it's a preview of good things to come.,Be Cool 2005-English
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单",,,opposition or previous failure. Over.,Hitch 2005
previously,"adv.先前,以前",,,an area that we had previously overlooked.,Final Fantasy The Spirits Within-English
prevision,"n.先见,预知",,,just the female prevision.,Minority Report 2002
prey,hallway n.玄關；走廊；hawk n.鷹,,,they know how to lure their prey.,Spider Man 2 2004 Extended
priam,n.[希神]普里阿摩斯(特洛伊末代国君),,,"Priam is a good king, a good man.",Troy 2004
price,"Office Price Stabilization,物价管制局",,,- And the price?,Vanity Fair 2004
priced,adj.附有定价的,,,"Casey, who buys high-priced lingerie",Hitch 2005
priceless,"adj.无价的,极贵重的",,,All priceless treasures,The Storm Riders 1998
prick,"vt.刺,戳,刺痛,竖起vi.刺,竖起n.扎,一刺,刺痛,锥,阴茎adj.竖起的",,,"- I'm a Tasmanian bastard, you prick.",The Aviator 2004-English
prickly,adj.多刺的,,,Something prickly and hard to eradicate.,Master and Commander The Far Side of the World-English
pride,"n.自豪,自尊(心),骄傲,傲慢vt.使自豪,使自夸",,,"Not my life and not my pride, either.",Sin City 2005-English
prideful,"adj.自傲的,高傲的",,,- Don't be so prideful. That's a sin.,21 Grams-English
prides,"隱約的出現appear as a shadowy form, especially one that is large or threatening. vehicles loomed out of the darkness.
a shape produced by a curve.
a loop of rope tied around their wrists.
not firmly or tightly fixed in place.
a loose tooth.",,,,
priest,n.牧师,,,Now you're lying to a priest.,Million Dollar Baby 2004
priestess,"n.女祭司,(基督教会以外的)神职人员",,,"Too late for prayer, priestess.",Troy 2004
prim,adj.整洁的,,,She is a prim looking,Gangs of New York 2002
primal,adj.最初的,,,from primal level to postdoctoral,A I Artificial Intelligence-English
primarily,"adv.首先,起初,主要地,根本上",,,And I am primarily attractive to girls,Love Actually-English
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的",,,- Psychopharmacology is my primary field.,Batman Begins 2005
prime,"首相,总理 PM(prime minister)",,,Prime Minister on his way out.,The Interpreter 2005-English
primer,"n.初级读本,雷管",,,"- You know, a primer.",The Talented Mr Ripley-English
priming,"n.雷管,装填物,起爆药,底漆",,,"Boyle, douse that gun's priming.",Master and Commander The Far Side of the World-English
primitive,"adj.原始的,远古的,粗糙的,简单的",,,These are the most primitive,Spider Man 2 2004 Extended
prince,n.王子,,,the Prince of Gotham.,Batman Begins 2005
princess,n.公主,,,The Princess Sibylla of Jerusalem...,Kingdom of Heaven 2005
princeton,n.普林斯顿,,,Will you be heading back to Princeton,Batman Begins 2005
principal,"language n.語言；of, based on, or concerned with the law.
legal adj.合法的 the American legal system.",,,My vice principal called in sick today...,Guess Who 2005-English
principally,,,,,
principle,"n.法则,原则,原理",,,on the principle cable?,Mr and Mrs Smith 2005
principles,*integrity n.正直；inherit v.繼承she inherited a fortune from her father.,,,Basic principles:,Hitch 2005
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印",,,Can you print front and back?,The Interpreter 2005-English
printed,"adj.印刷的,已印好的",,,so I checked all the memories against the printed logs.,Eternal Sunshine of the Spotless Mind 2004
printer,"n.印刷工,打印机",,,"This cover is at the printer as we speak,",How to Lose a Guy in 10 Days 2003
printf,,,,,
printing,invent v.創造,,,- Lightning tour. I'm printing as I go.,The Constant Gardener 2005-English
prior,"adj.优先的,在前的n.预先adv.在",,,"Call it 'prior connections. """,The Bourne Supremacy 2004
prioritize,vt.把...区分优先次序,,,Prioritize these. Here's your flight coupons.,Fight Club 1999
priority,"n.先,前,优先,优先权",,,My first priority,Vanity Fair 2004
prism,,,,,
prison,n.监狱,,,And emerged from her prison,Vanity Fair 2004
prisoner,adj.囚犯的n.战俘,,,- Work holds him prisoner.,Vanity Fair 2004
prisoner's,,,,New prisoner's coming in!,The Green Mile 1999
prisoners,"make the spontaneous sounds and movements of the face and
body. she couldn't help laughing at his jokes.
laughter n.笑the action or sound of laughing. he roared with laughter.
start or set in motion (an activity or enterprise).
she was launching a campaign against ugly architecture.
a room in a house, hotel, or institution where clothes and
laundry n.洗衣店 linens can be washed and ironed. next to the laundry.
the system of rules which a particular country or community.
they were taken to court for breaking the law.
conforming to, permitted by, or recognized by law or rules. it is an offense to carry a weapon in public without lawful authority.
a legislator. the game's official lawmakers are preparing the new legislation.
an area of short, mown grass in a yard, garden, or park.
she was sitting in a deckchair on the lawn.
*lawnmower n.除草機 a machine for cutting the grass on a lawn.
a claim or dispute brought to a court of law for adjudication.
*lawsuit n.訴訟 his lawyer filed a lawsuit against Los Angeles city.",,,You will take no prisoners!,Kingdom of Heaven 2005
pristine,adj.质朴的,,,of pristine Britannic beauty nonetheless.,The Aviator 2004-English
privacy,"n.独处而不受干扰,秘密",,,Give them some privacy.,Sin City 2005-English
private,"adj.私人的,私有的,私营的,秘密的n.士兵",,,with his private life.,Vanity Fair 2004
privateer,"n.(战时特准攻击敌方商船的)武装民船,私掠船",,,"Phantom or no, she's a privateer,",Master and Commander The Far Side of the World-English
privately,"adv.私下地,秘密地",,,should have a chance to talk privately.,The Aviator 2004-English
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免",,,I have the privilege to present,Spider Man 2 2004 Extended
privileged,"adj.有特权的,有特别恩典的",,,privileged revolutionaries.,The Constant Gardener 2005-English
prize,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开",,,This is your prize of battle.,Kingdom of Heaven 2005
pro,adv.正面地  (英国)档案局 PRO(Public Record Office),,,He almost went pro. Till he changed his career to medicine.,Guess Who 2005-English
probability,"[域] Philippines ,菲律宾; [军] Probability of Hit,命中率; [化](表示氢离子活度的)pH值",,,"is, to my mind, a probability.",Alexander 2004-English
probable,"discover the exact place or position of. engineers were working to locate the fault.
a particular place or position.
the property is set in a convenient location.
a mechanism for keeping a door, lid, etc., fastened, ty operated only by a key of a particular form. the key turned firmly in the lock.
*locomotive adj.移動的 relating to or effecting locomotion.
a room or space directly under the roof of a house or other building, which may be used for accommodations or storage. a part of the trunk or a large branch of a tree that has fallen or
been cut off. she tripped over a fallen log.
reasoning assessed according to strict principles of validity.
experience is a better guide to this than deductive logic.
of or according to the rules of logic or formal argument. a logical impossibility.；limb n.肢",,,it's probable these creatures,Spider Man 2 2004 Extended
probably,"adv.大概,或许",,,I think I probably can.,Vanity Fair 2004
probation,"n.试用,见习,鉴定,查验,证明,察看,缓刑",,,and he'll agree to probation.,Ray 2004
probe,"n.探针,探测器vt.(以探针等)探查,查明",,,but tricking the probe,The Incredibles 2004
probing,n.探通术,,,"He's probing, Comrade Khrushchev.",Enemy at the Gates 2001
problem,"n.问题,难题",,,is quite an engineering problem.,The Aviator 2004-English
problems,*dynamite n.硝化甘油炸藥；effective adj.有效的,,,serious problems...,Spider Man 2 2004 Extended
procedural,adj.程序上的,,,procedural questions.,The Sixth Sense-English
procedure,"devil n.魔鬼 belief in the Devil.
devise v.策劃；dine v.用餐 dinner n.晚餐",,,You can't have the procedure done three times in one month.,Eternal Sunshine of the Spotless Mind 2004
procedures,,,,"Environmental procedures,",Batman Begins 2005
proceed,"vi.进行,继续下去,发生",,,But can we at least proceed,The Aviator 2004-English
proceeding,"interaction n.相互影響  ongoing interaction between the two languages.
obstruct (someone or something) so as to prevent
*intercept v.中途阻止 them from continuing to a detination.
(of two things) able to be interchanged. eyepieces are interchangeable with.
communication or dealings between individuals or
groups. everyday social intercourse.
the monthly rate of interest.
she looked about her with interest.
arousing curiosity or interest. holding or catching the
*interesting adj.有趣的attention. an interesting debate.
take part in an activity without invitation or necessity.
interfere v.干預you promised not to interfere.
the action of interfering. an unwarranted interference
*interference n.干擾 with personal liberty.
situated within or inside; relating to the inside;
*interior n./adj.內部(的) inner. the interior lighting is not adequate.
coming between two things in time, place, order,
intermediate adj.中間的character. an intermediate stage of development.
of or situated on the inside. the tube had an internal
diameter of 1.1 mm. (millimeter)
existing, occurring, or carried on between two
or more nations. international trade.
a global computer network providing a variety of
Internet n.網際網路information. the guide is also available on the internet.
explain the meaning of (information, words, or
actions). the evidence is difficult to interpret. the action of explaining the meaning of something. the interpretation of data.
a person who interprets, especially one who
*interpreter n.口譯者translates speech orally.
break the continuity of (a line or surface).
interrupt v.打斷 the coastal plain is interrupted by chains of large lagoons.
the action of interrupting or being interrupted.
a chance to study without interruption.
*intersection n.橫切；路口 a point or line common to lines or surfaces
that intersect.",,,Someone at this proceeding...,Batman Begins 2005
proceeds,"*drift v./n.漂流；漂浮物fallen leaves were starting to drift in the gutters.
*drill n./v.鑽頭；鑽床 a hand tool, used for making holes.
take (a liquid) into the mouth and swallow.
we sat by the fire, drinking our coffee.；donate v.捐贈",,,Come on. Proceeds are going to charity.,Memento 2000
process,"an advisory, deliberative, or legislative body of people formally constituted and meeting regularly.
*councilman n.議員；cream n.奶油；乳脂
*create v.創造",,,... the entire process must be repeated...,The Aviator 2004-English
processed,,,,Get this processed and,The Interpreter 2005-English
processes,,,,,
processing,,,,,
processor,,,,,
proclaim,"vt.宣布,声明,显示,显露",,,"not only proclaim ""Georgia on My Mind""",Ray 2004
proclamation,,,,,
proctor,,,,,
procurement,,,,,
prodigal,adj.浪费的n.浪子,,,The prodigal,A Beautiful Mind 2001
prodigious,adj.巨大的,,,he's a prodigious great mew. There it goes.,Master and Commander The Far Side of the World-English
produce,explore v.探索,,,"- Well, would you produce him?",The Aviator 2004-English
produced,,,,...you produced a dirty movie,The Aviator 2004-English
producer,"n.生产者,制作者,演出人,(电影)制片人",,,I'm a producer. I did the film Get Leo.,Be Cool 2005-English
producing,"裝載 a heavy or bulky thing that is being carried. they must carry a load of up to eighty pounds.
loaf n.一條麵包a quantity of bread that is shaped and baked in one piece and usually sliced before being eaten. a loaf of bread.
loan n./v.貸款a thing that is borrowed, especially that is expected to be paid back with interest. borrowers can take out a loan for $84,000.
a room providing a space out of which one or more other
rooms lead. they went into the hotel lobby.
lobster n.龍蝦
belonging or relating to a particular area or neighborhood. researching local history.",,,Producing dead offspring.,The Constant Gardener 2005-English
product,"[军] Product Improve,产品改进n. 派(π),圆周率(π)",,,but you don't believe in your own product.,Hitch 2005
production,"economics n.經濟學
economist n.經濟學者；the exercise will naturally elevate your chest and head.
elevator n.電梯；升降機in the elevator she pressed the button for",,,We are not getting enough production,The Aviator 2004-English
productive,"adj.生产性的,生产的,能产的,多产的",,,I had a very productive chat,Ray 2004
productivity,n.生产力,,,that our productivity per pint...,Flight of the Phoenix 2004-English
products,*logo n.(=logotype)標識,,,"defense projects, consumer products.",Batman Begins 2005
prof,n.(=professor)教授,,,Prof. Dr. Ernst-Gunter Schenck dibebaskan,Downfall 2004
profess,,,,,
profession,"n.职业,专业,表白,宣布",,,Profession: Circus artist.,Spider Man 2 2004 Extended
professional,lazy adj.懶散的,,,I need professional help.,Hitch 2005
